Jan. 11, 2012   17:21:10
Amperometric i-t Curve
File: lr100
Data Source:  Experiment
Instrument Model:  CHI760C
Header: 
Note: 

Init E (V) = 0.6
Sample Interval (s) = 0.1
Run Time (sec) = 120
Quiet Time (sec) = 0
Sensitivity (A/V) = 1e-6


Time/sec, i1/A, i2/A

1.000e-1, 9.453e-8, 1.177e-7
2.000e-1, 8.701e-8, 1.084e-7
3.000e-1, 8.142e-8, 1.012e-7
4.000e-1, 7.702e-8, 9.550e-8
5.000e-1, 7.352e-8, 9.087e-8
6.000e-1, 7.055e-8, 8.704e-8
7.000e-1, 6.807e-8, 8.377e-8
8.000e-1, 6.596e-8, 8.101e-8
9.000e-1, 6.410e-8, 7.856e-8
1.000e+0, 6.247e-8, 7.639e-8
1.100e+0, 6.107e-8, 7.444e-8
1.200e+0, 5.976e-8, 7.267e-8
1.300e+0, 5.862e-8, 7.118e-8
1.400e+0, 5.757e-8, 6.970e-8
1.500e+0, 5.661e-8, 6.844e-8
1.600e+0, 5.578e-8, 6.727e-8
1.700e+0, 5.498e-8, 6.618e-8
1.800e+0, 5.422e-8, 6.519e-8
1.900e+0, 5.356e-8, 6.429e-8
2.000e+0, 5.290e-8, 6.342e-8
2.100e+0, 5.232e-8, 6.260e-8
2.200e+0, 5.179e-8, 6.190e-8
2.300e+0, 5.126e-8, 6.117e-8
2.400e+0, 5.082e-8, 6.052e-8
2.500e+0, 5.038e-8, 5.988e-8
2.600e+0, 4.992e-8, 5.928e-8
2.700e+0, 4.955e-8, 5.879e-8
2.800e+0, 4.914e-8, 5.822e-8
2.900e+0, 4.880e-8, 5.777e-8
3.000e+0, 4.848e-8, 5.729e-8
3.100e+0, 4.814e-8, 5.686e-8
3.200e+0, 4.785e-8, 5.646e-8
3.300e+0, 4.758e-8, 5.608e-8
3.400e+0, 4.726e-8, 5.569e-8
3.500e+0, 4.703e-8, 5.535e-8
3.600e+0, 4.678e-8, 5.503e-8
3.700e+0, 4.653e-8, 5.472e-8
3.800e+0, 4.631e-8, 5.444e-8
3.900e+0, 4.606e-8, 5.418e-8
4.000e+0, 4.587e-8, 5.390e-8
4.100e+0, 4.567e-8, 5.368e-8
4.200e+0, 4.545e-8, 5.338e-8
4.300e+0, 4.526e-8, 5.318e-8
4.400e+0, 4.507e-8, 5.295e-8
4.500e+0, 4.487e-8, 5.273e-8
4.600e+0, 4.473e-8, 5.256e-8
4.700e+0, 4.454e-8, 5.233e-8
4.800e+0, 4.436e-8, 5.217e-8
4.900e+0, 4.423e-8, 5.202e-8
5.000e+0, 4.406e-8, 5.184e-8
5.100e+0, 4.391e-8, 5.172e-8
5.200e+0, 4.377e-8, 5.153e-8
5.300e+0, 4.361e-8, 5.135e-8
5.400e+0, 4.348e-8, 5.124e-8
5.500e+0, 4.334e-8, 5.109e-8
5.600e+0, 4.319e-8, 5.095e-8
5.700e+0, 4.308e-8, 5.090e-8
5.800e+0, 4.294e-8, 5.073e-8
5.900e+0, 4.283e-8, 5.067e-8
6.000e+0, 4.272e-8, 5.056e-8
6.100e+0, 4.256e-8, 5.044e-8
6.200e+0, 4.246e-8, 5.038e-8
6.300e+0, 4.236e-8, 5.026e-8
6.400e+0, 4.225e-8, 5.019e-8
6.500e+0, 4.214e-8, 5.012e-8
6.600e+0, 4.203e-8, 5.004e-8
6.700e+0, 4.192e-8, 4.998e-8
6.800e+0, 4.183e-8, 4.994e-8
6.900e+0, 4.171e-8, 4.984e-8
7.000e+0, 4.160e-8, 4.977e-8
7.100e+0, 4.152e-8, 4.972e-8
7.200e+0, 4.138e-8, 4.964e-8
7.300e+0, 4.130e-8, 4.962e-8
7.400e+0, 4.120e-8, 4.954e-8
7.500e+0, 4.108e-8, 4.949e-8
7.600e+0, 4.102e-8, 4.947e-8
7.700e+0, 4.092e-8, 4.939e-8
7.800e+0, 4.083e-8, 4.933e-8
7.900e+0, 4.075e-8, 4.934e-8
8.000e+0, 4.064e-8, 4.927e-8
8.100e+0, 4.057e-8, 4.926e-8
8.200e+0, 4.048e-8, 4.919e-8
8.300e+0, 4.038e-8, 4.916e-8
8.400e+0, 4.030e-8, 4.915e-8
8.500e+0, 4.021e-8, 4.908e-8
8.600e+0, 4.010e-8, 4.905e-8
8.700e+0, 4.004e-8, 4.904e-8
8.800e+0, 3.995e-8, 4.897e-8
8.900e+0, 3.987e-8, 4.897e-8
9.000e+0, 3.980e-8, 4.894e-8
9.100e+0, 3.968e-8, 4.890e-8
9.200e+0, 3.964e-8, 4.889e-8
9.300e+0, 3.956e-8, 4.883e-8
9.400e+0, 3.946e-8, 4.879e-8
9.500e+0, 3.941e-8, 4.875e-8
9.600e+0, 3.933e-8, 4.872e-8
9.700e+0, 3.925e-8, 4.871e-8
9.800e+0, 3.920e-8, 4.867e-8
9.900e+0, 3.908e-8, 4.861e-8
1.000e+1, 3.902e-8, 4.860e-8
1.010e+1, 3.897e-8, 4.857e-8
1.020e+1, 3.886e-8, 4.850e-8
1.030e+1, 3.882e-8, 4.854e-8
1.040e+1, 3.875e-8, 4.844e-8
1.050e+1, 3.867e-8, 4.844e-8
1.060e+1, 3.863e-8, 4.837e-8
1.070e+1, 3.854e-8, 4.836e-8
1.080e+1, 3.849e-8, 4.835e-8
1.090e+1, 3.843e-8, 4.829e-8
1.100e+1, 3.835e-8, 4.825e-8
1.110e+1, 3.830e-8, 4.824e-8
1.120e+1, 3.823e-8, 4.821e-8
1.130e+1, 3.817e-8, 4.814e-8
1.140e+1, 3.813e-8, 4.811e-8
1.150e+1, 3.806e-8, 4.805e-8
1.160e+1, 3.801e-8, 4.805e-8
1.170e+1, 3.797e-8, 4.800e-8
1.180e+1, 3.790e-8, 4.793e-8
1.190e+1, 3.784e-8, 4.791e-8
1.200e+1, 3.781e-8, 4.782e-8
1.210e+1, 3.773e-8, 4.775e-8
1.220e+1, 3.771e-8, 4.775e-8
1.230e+1, 3.765e-8, 4.768e-8
1.240e+1, 3.759e-8, 4.762e-8
1.250e+1, 3.757e-8, 4.761e-8
1.260e+1, 3.751e-8, 4.750e-8
1.270e+1, 3.746e-8, 4.746e-8
1.280e+1, 3.744e-8, 4.743e-8
1.290e+1, 3.736e-8, 4.737e-8
1.300e+1, 3.736e-8, 4.735e-8
1.310e+1, 3.731e-8, 4.725e-8
1.320e+1, 3.726e-8, 4.721e-8
1.330e+1, 3.725e-8, 4.715e-8
1.340e+1, 3.720e-8, 4.706e-8
1.350e+1, 3.715e-8, 4.701e-8
1.360e+1, 3.713e-8, 4.696e-8
1.370e+1, 3.708e-8, 4.688e-8
1.380e+1, 3.705e-8, 4.687e-8
1.390e+1, 3.703e-8, 4.681e-8
1.400e+1, 3.698e-8, 4.673e-8
