Aug. 25, 2011   13:07:17
Cyclic Voltammetry
File: lr200
Data Source:  Experiment
Instrument Model:  CHI760C
Header: 
Note: 

Init E (V) = 0.2
High E (V) = 0.2
Low E (V) = -0.6
Init P/N = N
Scan Rate (V/s) = 0.1
Segment = 4
Sample Interval (V) = 0.01
Quiet Time (sec) = 1
Sensitivity (A/V) = 1e-6
Sens 2 (A/V) = 1e-6

Segment 1:
Ep = -0.195V
ip = -7.409e-7A
Ah = -5.488e-7C

Segment 2:
Ep = -0.105V
ip = 6.927e-7A
Ah = 5.472e-7C

Segment 3:
Ep = -0.195V
ip = -7.395e-7A
Ah = -5.529e-7C

Segment 4:
Ep = -0.105V
ip = 6.934e-7A
Ah = 5.467e-7C

Current 2:

Segment 1:
Ep = -0.195V
ip = -7.853e-7A
Ah = -6.120e-7C

Segment 2:
Ep = -0.105V
ip = 6.882e-7A
Ah = 5.342e-7C

Segment 3:
Ep = -0.195V
ip = -7.570e-7A
Ah = -5.989e-7C

Segment 4:
Ep = -0.105V
ip = 6.892e-7A
Ah = 5.388e-7C

Potential/V, i1/A, i2/A, Q1/C

Segment 1:
0.195, 3.388e-9, -1.747e-9, 3.388e-10
0.185, 3.023e-9, -2.284e-9, 6.411e-10
0.175, 2.790e-9, -2.852e-9, 9.201e-10
0.165, 2.555e-9, -3.494e-9, 1.176e-9
0.155, 2.280e-9, -4.210e-9, 1.404e-9
0.145, 1.985e-9, -5.026e-9, 1.602e-9
0.135, 1.678e-9, -5.893e-9, 1.770e-9
0.125, 1.317e-9, -6.828e-9, 1.902e-9
0.115, 9.170e-10, -7.846e-9, 1.993e-9
0.105, 4.845e-10, -8.894e-9, 2.042e-9
0.095, -6.695e-12, -9.944e-9, 2.041e-9
0.085, -5.565e-10, -1.097e-8, 1.985e-9
0.075, -1.173e-9, -1.206e-8, 1.868e-9
0.065, -1.864e-9, -1.317e-8, 1.682e-9
0.055, -2.643e-9, -1.440e-8, 1.417e-9
0.045, -3.535e-9, -1.568e-8, 1.064e-9
0.035, -4.552e-9, -1.722e-8, 6.087e-10
0.025, -5.766e-9, -1.911e-8, 3.212e-11
0.015, -7.211e-9, -2.135e-8, -6.890e-10
0.005, -9.006e-9, -2.436e-8, -1.590e-9
-0.005, -1.130e-8, -2.833e-8, -2.720e-9
-0.015, -1.428e-8, -3.348e-8, -4.148e-9
-0.025, -1.831e-8, -4.024e-8, -5.979e-9
-0.035, -2.386e-8, -4.893e-8, -8.366e-9
-0.045, -3.146e-8, -6.061e-8, -1.151e-8
-0.055, -4.210e-8, -7.612e-8, -1.572e-8
-0.065, -5.740e-8, -9.659e-8, -2.146e-8
-0.075, -7.891e-8, -1.236e-7, -2.935e-8
-0.085, -1.084e-7, -1.591e-7, -4.020e-8
-0.095, -1.482e-7, -2.046e-7, -5.501e-8
-0.105, -2.001e-7, -2.618e-7, -7.502e-8
-0.115, -2.655e-7, -3.314e-7, -1.016e-7
-0.125, -3.435e-7, -4.124e-7, -1.359e-7
-0.135, -4.309e-7, -5.011e-7, -1.790e-7
-0.145, -5.212e-7, -5.914e-7, -2.311e-7
-0.155, -6.068e-7, -6.766e-7, -2.918e-7
-0.165, -6.784e-7, -7.474e-7, -3.596e-7
-0.175, -7.299e-7, -7.984e-7, -4.326e-7
-0.185, -7.591e-7, -8.276e-7, -5.085e-7
-0.195, -7.678e-7, -8.363e-7, -5.853e-7
-0.205, -7.615e-7, -8.296e-7, -6.615e-7
-0.215, -7.461e-7, -8.133e-7, -7.361e-7
-0.225, -7.265e-7, -7.924e-7, -8.087e-7
-0.235, -7.057e-7, -7.700e-7, -8.793e-7
-0.245, -6.859e-7, -7.483e-7, -9.479e-7
-0.255, -6.682e-7, -7.283e-7, -1.015e-6
-0.265, -6.521e-7, -7.103e-7, -1.080e-6
-0.275, -6.385e-7, -6.943e-7, -1.144e-6
-0.285, -6.268e-7, -6.800e-7, -1.206e-6
-0.295, -6.166e-7, -6.673e-7, -1.268e-6
-0.305, -6.081e-7, -6.562e-7, -1.329e-6
-0.315, -6.009e-7, -6.461e-7, -1.389e-6
-0.325, -5.948e-7, -6.373e-7, -1.448e-6
-0.335, -5.896e-7, -6.293e-7, -1.507e-6
-0.345, -5.851e-7, -6.220e-7, -1.566e-6
-0.355, -5.811e-7, -6.154e-7, -1.624e-6
-0.365, -5.771e-7, -6.089e-7, -1.682e-6
-0.375, -5.733e-7, -6.027e-7, -1.739e-6
-0.385, -5.694e-7, -5.967e-7, -1.796e-6
-0.395, -5.654e-7, -5.907e-7, -1.853e-6
-0.405, -5.614e-7, -5.851e-7, -1.909e-6
-0.415, -5.574e-7, -5.800e-7, -1.964e-6
-0.425, -5.537e-7, -5.751e-7, -2.020e-6
-0.435, -5.503e-7, -5.709e-7, -2.075e-6
-0.445, -5.472e-7, -5.669e-7, -2.130e-6
-0.455, -5.444e-7, -5.635e-7, -2.184e-6
-0.465, -5.421e-7, -5.609e-7, -2.238e-6
-0.475, -5.400e-7, -5.589e-7, -2.292e-6
-0.485, -5.385e-7, -5.576e-7, -2.346e-6
-0.495, -5.373e-7, -5.570e-7, -2.400e-6
-0.505, -5.363e-7, -5.563e-7, -2.453e-6
-0.515, -5.351e-7, -5.560e-7, -2.507e-6
-0.525, -5.339e-7, -5.555e-7, -2.560e-6
-0.535, -5.326e-7, -5.548e-7, -2.614e-6
-0.545, -5.309e-7, -5.538e-7, -2.667e-6
-0.555, -5.292e-7, -5.525e-7, -2.720e-6
-0.565, -5.273e-7, -5.509e-7, -2.772e-6
-0.575, -5.255e-7, -5.492e-7, -2.825e-6
-0.585, -5.238e-7, -5.475e-7, -2.877e-6
-0.595, -5.221e-7, -5.459e-7, -2.930e-6

Segment 2:
-0.595, -5.124e-7, -5.296e-7, -2.981e-6
-0.585, -5.028e-7, -5.185e-7, -3.031e-6
-0.575, -4.961e-7, -5.110e-7, -3.081e-6
-0.565, -4.902e-7, -5.048e-7, -3.130e-6
-0.555, -4.848e-7, -4.994e-7, -3.178e-6
-0.545, -4.796e-7, -4.944e-7, -3.226e-6
-0.535, -4.747e-7, -4.897e-7, -3.274e-6
-0.525, -4.697e-7, -4.853e-7, -3.321e-6
-0.515, -4.650e-7, -4.814e-7, -3.367e-6
-0.505, -4.605e-7, -4.778e-7, -3.413e-6
-0.495, -4.565e-7, -4.747e-7, -3.459e-6
-0.485, -4.529e-7, -4.720e-7, -3.504e-6
-0.475, -4.496e-7, -4.697e-7, -3.549e-6
-0.465, -4.466e-7, -4.677e-7, -3.594e-6
-0.455, -4.439e-7, -4.659e-7, -3.638e-6
-0.445, -4.414e-7, -4.640e-7, -3.682e-6
-0.435, -4.387e-7, -4.622e-7, -3.726e-6
-0.425, -4.362e-7, -4.604e-7, -3.770e-6
-0.415, -4.338e-7, -4.585e-7, -3.813e-6
-0.405, -4.313e-7, -4.566e-7, -3.856e-6
-0.395, -4.286e-7, -4.545e-7, -3.899e-6
-0.385, -4.260e-7, -4.522e-7, -3.942e-6
-0.375, -4.231e-7, -4.500e-7, -3.984e-6
-0.365, -4.203e-7, -4.477e-7, -4.026e-6
-0.355, -4.175e-7, -4.452e-7, -4.068e-6
-0.345, -4.146e-7, -4.426e-7, -4.109e-6
-0.335, -4.114e-7, -4.398e-7, -4.150e-6
-0.325, -4.081e-7, -4.370e-7, -4.191e-6
-0.315, -4.047e-7, -4.339e-7, -4.232e-6
-0.305, -4.008e-7, -4.304e-7, -4.272e-6
-0.295, -3.963e-7, -4.265e-7, -4.311e-6
-0.285, -3.910e-7, -4.216e-7, -4.350e-6
-0.275, -3.845e-7, -4.157e-7, -4.389e-6
-0.265, -3.764e-7, -4.083e-7, -4.427e-6
-0.255, -3.659e-7, -3.983e-7, -4.463e-6
-0.245, -3.521e-7, -3.852e-7, -4.498e-6
-0.235, -3.335e-7, -3.672e-7, -4.532e-6
-0.225, -3.086e-7, -3.428e-7, -4.563e-6
-0.215, -2.751e-7, -3.102e-7, -4.590e-6
-0.205, -2.312e-7, -2.674e-7, -4.613e-6
-0.195, -1.748e-7, -2.126e-7, -4.631e-6
-0.185, -1.058e-7, -1.457e-7, -4.641e-6
-0.175, -2.568e-8, -6.779e-8, -4.644e-6
-0.165, 6.075e-8, 1.571e-8, -4.638e-6
-0.155, 1.474e-7, 1.005e-7, -4.623e-6
-0.145, 2.254e-7, 1.775e-7, -4.600e-6
-0.135, 2.865e-7, 2.394e-7, -4.572e-6
-0.125, 3.277e-7, 2.825e-7, -4.539e-6
-0.115, 3.470e-7, 3.050e-7, -4.504e-6
-0.105, 3.481e-7, 3.097e-7, -4.469e-6
-0.095, 3.368e-7, 3.019e-7, -4.436e-6
-0.085, 3.180e-7, 2.867e-7, -4.404e-6
-0.075, 2.962e-7, 2.684e-7, -4.374e-6
-0.065, 2.739e-7, 2.493e-7, -4.347e-6
-0.055, 2.526e-7, 2.311e-7, -4.322e-6
-0.045, 2.334e-7, 2.147e-7, -4.298e-6
-0.035, 2.161e-7, 2.001e-7, -4.277e-6
-0.025, 2.009e-7, 1.872e-7, -4.257e-6
-0.015, 1.876e-7, 1.760e-7, -4.238e-6
-0.005, 1.759e-7, 1.661e-7, -4.220e-6
0.005, 1.656e-7, 1.575e-7, -4.204e-6
0.015, 1.566e-7, 1.498e-7, -4.188e-6
0.025, 1.485e-7, 1.430e-7, -4.173e-6
0.035, 1.414e-7, 1.369e-7, -4.159e-6
0.045, 1.350e-7, 1.315e-7, -4.146e-6
0.055, 1.293e-7, 1.265e-7, -4.133e-6
0.065, 1.241e-7, 1.220e-7, -4.120e-6
0.075, 1.195e-7, 1.180e-7, -4.108e-6
